id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,reviews total,pre 2014 reviews,post 2014 reviews
18749798,Downtown condo perfect location,42854768,Ava,,78701,30.26045,-97.73948,Entire home/apt,125,1,142,2019-06-30,5.59,3,100,2,0,142
18759044,"Keep it Simple w/2Bed, 1Bath, PS4",15697763,Jim,,78723,30.31457,-97.6971,Entire home/apt,99,1,140,2019-05-29,5.41,2,174,7,0,140
18769724,Chic Austin Home-8 minutes to downtown!,34735783,Sarah,,78749,30.207759999999997,-97.86743,Entire home/apt,425,5,8,2018-10-08,0.33,1,0,13,0,8
18772963,"Cozy room, bathroom, private entrance - Hyde Park!",98689628,Zoja,,78751,30.30518,-97.71826,Private room,49,2,43,2019-05-27,2.05,2,0,1,0,43
18787194,Guadalupe: Economic Spot in Great Community,8167447,Martin,,78751,30.32093,-97.72498,Shared room,16,29,6,2019-03-04,0.26,72,325,34,0,6
18787574,Guadalupe: Shared Room in Fun Community,8167447,Martin,,78751,30.3211,-97.72465,Shared room,23,29,3,2019-01-13,0.13,72,329,49,0,3
18793629,Blue Aggie - Tiny House at Community First Village,15621214,Barrett At Community First! Village,,78724,30.281470000000002,-97.62156,Entire home/apt,85,1,209,2019-06-21,8.0,17,330,11,0,209
18793942,"Cozy 1BD, Walkable, Heart of Austin",130779091,Chris,,78705,30.294159999999998,-97.74587,Private room,29,1,9,2017-07-24,0.34,1,0,32,0,9
18794384,South Congress Contemporary Austin Retreat!,10496384,Larkin,,78704,30.22924,-97.76278,Entire home/apt,300,2,90,2019-07-07,3.45,1,306,59,0,90
18795076,Private Master Suite in Earthy Artsy East ATX Casa,1619127,Steph,,78723,30.30787,-97.67414000000001,Private room,49,30,2,2019-07-08,0.16,1,148,34,0,2
18806788,"Private Room & Bath in nice home, SW Austin",130926442,Quinn,,78749,30.21603,-97.85869,Private room,99,2,7,2019-03-16,0.27,3,0,15,0,7
18807173,Guadalupe: Economic Spot in Fantastic Community,8167447,Martin,,78751,30.320829999999997,-97.72621,Shared room,16,29,2,2019-06-04,0.6,72,342,21,0,2
18808384,Austin Great Hills Tree House,72159317,Don,,78759,30.391479999999998,-97.76111,Private room,80,1,32,2019-04-08,2.04,1,9,28,0,32
18821997,"Cute house near Apple, The Domain, and Highways.",45028692,Marcia,,78727,30.44025,-97.74378,Entire home/apt,90,2,16,2018-02-11,0.62,1,0,3,0,16
18822549,"Clean, cozy and convenient locale",131057601,Kiara,,78722,30.285159999999998,-97.71761,Entire home/apt,88,2,2,2017-07-04,0.08,1,0,5,0,2
18823187,Downtown Modern,118565935,Renters Club,,78741,30.244590000000002,-97.7324,Entire home/apt,4360,2,5,2018-10-14,0.23,79,346,176,0,5
18824299,"Private upstairs, quiet neighborhood minutes to DT",38560509,Tommy,,78749,30.214209999999998,-97.86446,Private room,75,1,6,2019-05-27,0.37,1,256,32,0,6
18834915,Casa de Abuelos,2131360,Katie,,78757,30.353959999999997,-97.7181,Entire home/apt,85,2,99,2019-07-04,4.0,1,326,49,0,99
18842108,Comfy room Queen bed with private bath,131229763,Suzanne,,78757,30.33738,-97.73549,Private room,75,2,7,2019-04-14,0.43,5,0,6,0,7
18849155,"Retreat near Domain, 15 mins to downtown",43038635,Karthik,,78727,30.424090000000003,-97.67964,Private room,15,2,3,2017-07-23,0.12,1,0,1,0,3
