,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,pre 2014 reviews,post 2014 reviews,percent change
722,2057036,"Urban Hideaway Close to DT, Springs",10293287,Ann,,78704,30.24934,-97.77859,Entire home/apt,139,1,83,5/24/2019,1.28,8,251,2,81,39.5
723,2057533,ACL 700sf Apt on South Lamar 78704,4952321,Jami,,78704,30.23903,-97.78709,Entire home/apt,123,2,3,10/12/2015,0.05,1,0,1,2,1
725,2065053,Luxury and Fab Location w/ a View!,422239,John,,78702,30.2598,-97.7362,Entire home/apt,138,2,257,6/2/2019,3.95,3,247,40,217,4.425
727,2092733,Immaculate Mid-Century with Yard in Travis Heights,80406,Dani,,78704,30.2402,-97.74189,Entire home/apt,550,1,127,7/7/2019,2.04,12,128,6,121,19.16666667
728,2095705,Huge 4/2 By Zilker & Barton Spring,425516,Keturah,,78746,30.24458,-97.78967,Entire home/apt,700,2,93,6/9/2019,1.4,2,337,15,78,4.2
730,2104280,"Visit SoCo from a Spacious, Southern Luxury Home",1488733,Brooke,,78704,30.24304,-97.76121,Entire home/apt,447,1,54,6/23/2019,0.85,34,255,2,52,25
731,2119633,Charming South Austin House,10808015,Barbara,,78745,30.19412,-97.78942,Private room,52,30,7,12/7/2018,0.11,1,299,2,5,1.5
733,2124026,CENTRAL EASTSIDE COTTAGE- 2 Miles to Downtown & UT,425706,Robert,,78722,30.28283,-97.7082,Entire home/apt,160,2,154,1/31/2019,2.35,6,318,33,121,2.666666667
735,2126912,ACL | E 11th Modern Home | Eastside Artistic,1609994,Brennen & Sierra,,78702,30.26898,-97.72794,Entire home/apt,590,2,2,1/10/2016,0.03,1,0,1,1,0
736,2130032,"Granny's House, East Downtown, 2/1",10694081,James,,78722,30.28221,-97.71765,Entire home/apt,145,2,37,5/22/2017,0.59,1,0,1,36,35
737,2138579,Private Room/Shared BATH NearDwnTwn,2374829,John,,78741,30.22553,-97.68813,Private room,60,1,10,12/16/2015,0.15,5,365,4,6,0.5
738,2138690,Modern Upstairs Retreat #2 with Private Bath,1421618,Diana,,78729,30.4643,-97.7847,Private room,65,2,49,10/8/2018,0.82,4,0,6,43,6.166666667
740,2139352,Modern East ATX 2/2 Bungalow,2497240,Natasha,,78702,30.25359,-97.71445,Entire home/apt,300,2,14,10/21/2018,0.22,1,311,3,11,2.666666667
741,2141987,Modern Home in Zilker,9463145,Joi,,78704,30.25838,-97.76602,Entire home/apt,2500,2,3,3/11/2018,0.05,2,171,1,2,1
744,2149762,Eastside Art Bungalow,534546,Lisa,,78702,30.2484,-97.72302,Entire home/apt,95,1,360,7/10/2019,5.44,1,121,52,308,4.923076923
745,2160085,Beautiful East Austin Bungalow,413801,Alex,,78722,30.28838,-97.71968,Entire home/apt,295,2,43,5/27/2019,0.66,1,0,8,35,3.375
747,2168813,Sweet South Austin Modern Home,5106595,Mary,,78704,30.25208,-97.77896,Entire home/apt,545,3,19,3/11/2018,0.33,1,363,1,18,17
748,2174970,Spacious & Charming in Downtown ATX,3820555,Justin&Becca,,78702,30.2624,-97.73241,Entire home/apt,600,2,185,7/7/2019,3.18,2,299,9,176,18.55555556
749,2187256,Modern Zen Oasis - Loft in the Canopy,11152728,Jon,,78702,30.27873,-97.70353,Private room,95,2,26,5/19/2018,0.4,3,284,7,19,1.714285714
750,2197361,Bright & Cheery 1 Bed in S. Austin,1314232,Tianna,,78745,30.20931,-97.81587,Entire home/apt,65,4,30,3/25/2019,0.46,1,0,5,25,4
751,2198635,Beautiful Northwest Hills duplex,11215879,Barton,,78731,30.35099,-97.75034,Entire home/apt,205,2,43,6/22/2019,0.66,1,350,13,30,1.307692308
752,2200205,Luxury Apartment - Right in the Heart of SoCo,6386445,Nan,,78704,30.24643,-97.75113,Entire home/apt,99,2,102,7/1/2019,1.72,3,195,4,98,23.5
754,2208270,Renovated Eastside Mid-Century Duplex,11263914,David,,78722,30.29446,-97.71255,Entire home/apt,135,2,104,7/7/2019,1.6,3,134,3,101,32.66666667
755,2210823,Cozy room in spacious house,1671060,Abby,,78757,30.35801,-97.72088,Private room,75,1,14,3/13/2019,0.21,1,365,3,11,2.666666667
756,2210863,Cute SoCo condo available monthly,11278384,Colin,,78704,30.2381,-97.74837,Entire home/apt,49,100,21,12/31/2018,0.32,2,201,6,15,1.5
758,2223634,Stroll to South Congress Avenue from a Modernized Bungalow,80406,Dani,,78704,30.24597,-97.74856,Entire home/apt,550,1,156,7/1/2019,2.47,12,140,4,152,37
763,2248186,1 private BR near Mueller Park & DT,1807862,Rachael,,78722,30.30237,-97.71358,Private room,50,1,58,5/26/2019,0.88,2,11,7,51,6.285714286
764,2248559,4 Bedroom Lake View,487072,Greg & Amanda,,78759,30.40726,-97.73331,Entire home/apt,199,30,119,6/28/2019,1.81,10,231,6,113,17.83333333
767,2254712,Central Apartment with Comfortable Austin Vibe,11514096,Cynthia & Bobby,,78703,30.2916,-97.76038,Entire home/apt,195,1,388,7/10/2019,5.88,1,327,51,337,5.607843137
768,2255308,Cute Cottage Near Downtown & UT,487072,Greg & Amanda,,78731,30.32754,-97.75154,Entire home/apt,229,30,60,6/30/2019,0.93,10,250,1,59,58
